transliterated,reference,distance,address
huraōδąm,huraōδąm,0,"[{'id': 'Y17.15e', 'index': 7}]"
xᵛāparąm,xᵛāparąm,0,"[{'id': 'Y17.15e', 'index': 8}]"
xᵛarənō,xᵛarənō,0,"[{'id': 'Y17.15e', 'index': 9}, {'id': 'Y17.15f', 'index': 0}, {'id': 'Y17.15f', 'index': 1}]"
mazdaδātəm,mazdaδātəm,0,"[{'id': 'Y17.15f', 'index': 2}]"
sauuō,sauuō,0,"[{'id': 'Y17.15f', 'index': 3}, {'id': 'Y17.15g', 'index': 0}]"
mazdaδātəm,mazdaδātəm,0,"[{'id': 'Y17.15g', 'index': 1}, {'id': 'Y17.15g', 'index': 2}]"
,ā,1,"[{'id': 'Y17.15g', 'index': 3}]"
dahmąm,dāmąm,2,"[{'id': 'Y17.16a', 'index': 0}]"
vaŋhīm,vaŋᵛhīm,1,"[{'id': 'Y17.16a', 'index': 1}]"
āfritīm,āfritīm,0,"[{'id': 'Y17.16a', 'index': 2}, {'id': 'Y17.16a', 'index': 3}]"
daɱəmca,daɱəmca,0,"[{'id': 'Y17.16a', 'index': 4}, {'id': 'Y17.16b', 'index': 0}]"
narəm,narəm,0,"[{'id': 'Y17.16b', 'index': 1}]"
aṣ̌auuanəm,aṣ̌auuanəm,0,"[{'id': 'Y17.16b', 'index': 2}]"
uγrəm,uγrəm,0,"[{'id': 'Y17.16b', 'index': 3}, {'id': 'Y17.16c', 'index': 0}]"
taxməm,taxməm,0,"[{'id': 'Y17.16c', 'index': 1}]"
dāmōiš,dāmōiš,0,"[{'id': 'Y17.16c', 'index': 2}]"
upamanəm,upamanəm,0,"[{'id': 'Y17.16c', 'index': 3}, {'id': 'Y17.16c', 'index': 4}]"
yazatəm,yazatəm,0,"[{'id': 'Y17.16c', 'index': 5}]"
imā̊,imā̊,0,"[{'id': 'Y17.16c', 'index': 6}, {'id': 'Y17.17a', 'index': 0}]"
apasca,apasca,0,"[{'id': 'Y17.17a', 'index': 1}]"
zəmasca,zəmasca,0,"[{'id': 'Y17.17a', 'index': 2}, {'id': 'Y17.17a', 'index': 3}]"
uruuarā̊sca,uruuarā̊sca,0,"[{'id': 'Y17.17a', 'index': 4}]"
imā̊,imā̊,0,"[{'id': 'Y17.17a', 'index': 5}, {'id': 'Y17.17b', 'index': 0}]"
asā̊scašōiϑrā̊sca,asā̊scašōiϑrā̊sca,0,"[{'id': 'Y17.17b', 'index': 1}, {'id': 'Y17.17b', 'index': 2}]"
gaōiiaōitīšca,gaōiiaōitīšca,0,"[{'id': 'Y17.17b', 'index': 3}, {'id': 'Y17.17b', 'index': 4}]"
maēϑanaiiā̊sca,maēϑańiiā̊sca,2,"[{'id': 'Y17.17b', 'index': 5}]"
auuōxᵛarənā̊sca,auuōxᵛarənā̊sca,0,"[{'id': 'Y17.17b', 'index': 6}, {'id': 'Y17.17b', 'index': 7}]"
iməmca,iməmca,0,"[{'id': 'Y17.17b', 'index': 8}, {'id': 'Y17.17c', 'index': 0}]"
šōiϑrahe,šōiϑrahe,0,"[{'id': 'Y17.17c', 'index': 1}]"
paitīm,paitīm,0,"[{'id': 'Y17.17c', 'index': 2}, {'id': 'Y17.17c', 'index': 3}]"
yim,yim,0,"[{'id': 'Y17.17c', 'index': 4}]"
ahurəm,ahurəm,0,"[{'id': 'Y17.17c', 'index': 5}]"
mazdąm,mazdąm,0,"[{'id': 'Y17.17c', 'index': 6}]"
ratauuō,ratauuō,0,"[{'id': 'Y17.17c', 'index': 7}, {'id': 'Y17.18a', 'index': 0}]"
vīspe,vīspe,0,"[{'id': 'Y17.18a', 'index': 1}]"
mazišta,mazišta,0,"[{'id': 'Y17.18a', 'index': 2}]"
aiiara,aiiara,0,"[{'id': 'Y17.18a', 'index': 3}]"
asniia,asaiia,1,"[{'id': 'Y17.18a', 'index': 4}]"
māhiia,māhiia,0,"[{'id': 'Y17.18a', 'index': 5}]"
yāiriia,yāiriia,0,"[{'id': 'Y17.18a', 'index': 6}]"
sarəδa,sarəδa,0,"[{'id': 'Y17.18a', 'index': 7}]"
aṣ̌aōnąm,aṣ̌aōnąm,0,"[{'id': 'Y17.18a', 'index': 8}, {'id': 'Y17.19a', 'index': 0}]"
vaŋhīš,vaŋhuš,1,"[{'id': 'Y17.19a', 'index': 1}]"
sīrā̊,sūrā̊,1,"[{'id': 'Y17.19a', 'index': 2}, {'id': 'Y17.19a', 'index': 3}]"
spəṇtā̊,spəṇtā̊,0,"[{'id': 'Y17.19a', 'index': 4}]"
frauuašaiiōst,frauuašaiiō,2,"[{'id': 'Y17.19a', 'index': 5}]"
aōmi,haōmi,1,"[{'id': 'Y17.19a', 'index': 6}]"
zbaiiemi,zbaiiemi,0,"[{'id': 'Y17.19a', 'index': 7}]"
ufiiemi,ufiiemi,0,"[{'id': 'Y17.19a', 'index': 8}]"
n,nī,1,"[{'id': 'Y17.19a', 'index': 9}, {'id': 'Y17.19b', 'index': 0}]"
mānaiiā̊,gāϑaiiā̊,2,"[{'id': 'Y17.19b', 'index': 1}]"
vīsiiā̊,vīsiiā̊,0,"[{'id': 'Y17.19b', 'index': 2}]"
zaṇtumā̊dax́iiumā̊,,1000,"[{'id': 'Y17.19b', 'index': 3}]"
zaraϑuštrōtəmā̊,zaraϑuštrōtəmā̊,0,"[{'id': 'Y17.19b', 'index': 4}]"
vīspe,vīspe,0,"[{'id': 'Y17.19b', 'index': 5}, {'id': 'Y17.20a', 'index': 0}, {'id': 'Y17.20a', 'index': 1}]"
aṣ̌auuanō,aṣ̌auuanō,0,"[{'id': 'Y17.20a', 'index': 2}]"
yazata,yazata,0,"[{'id': 'Y17.20a', 'index': 3}]"
vīspe,vīspe,0,"[{'id': 'Y17.20a', 'index': 4}, {'id': 'Y17.20b', 'index': 0}, {'id': 'Y17.20b', 'index': 1}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y17.20b', 'index': 2}]"
ratauuō,ratauuō,0,"[{'id': 'Y17.20b', 'index': 3}]"
hāuuanīm,hāuuanīm,0,"[{'id': 'Y17.20b', 'index': 4}, {'id': 'Y17.20c', 'index': 0}, {'id': 'Y17.20c', 'index': 1}]"
paiti,paiti,0,"[{'id': 'Y17.20c', 'index': 2}]"
ratīm,ratūm,1,"[{'id': 'Y17.20c', 'index': 3}]"
sāuuaŋhə̄m,sāuuaŋhə̄e,1,"[{'id': 'Y17.20c', 'index': 4}]"
vīsəmca,vīsəmca,0,"[{'id': 'Y17.20c', 'index': 5}, {'id': 'Y17.20c', 'index': 6}]"
paiti,paiti,0,"[{'id': 'Y17.20c', 'index': 7}]"
ratīmratauuō,,1000,"[{'id': 'Y17.20c', 'index': 8}]"
vīspe,vīspe,0,"[{'id': 'Y17.20c', 'index': 9}]"
mazišta,mazišta,0,"[{'id': 'Y17.20c', 'index': 10}]"
paiti,paiti,0,"[{'id': 'Y17.20c', 'index': 11}]"
ratīm,ratūm,1,"[{'id': 'Y17.20c', 'index': 12}]"
yeŋ́hēhātąm,yeŋ́hēhātąm,0,"[{'id': 'Y17.21YeH', 'index': 0}, {'id': 'Y17.21YeH', 'index': 1}]"
aṣ̌əmvohī,,1000,"[{'id': 'Y18.1AV', 'index': 0}]"
dāidī,dāidī,0,"[{'id': 'Y18.2a', 'index': 0}]"
mōi,mōi,0,"[{'id': 'Y18.2a', 'index': 1}]"
yə̄,yə̄,0,"[{'id': 'Y18.2a', 'index': 2}]"
gąm,gąm,0,"[{'id': 'Y18.2a', 'index': 3}]"
tašō,tašō,0,"[{'id': 'Y18.2a', 'index': 4}]"
apascā,apascā,0,"[{'id': 'Y18.2a', 'index': 5}]"
uruuarā̊scā,uruuarā̊scā,0,"[{'id': 'Y18.2a', 'index': 6}]"
amərətātā,amərətātā,0,"[{'id': 'Y18.2a', 'index': 7}, {'id': 'Y18.2b', 'index': 0}, {'id': 'Y18.2b', 'index': 1}]"
hauruuatātā,hauruuatātō,1,"[{'id': 'Y18.2b', 'index': 2}]"
spə̄ništā,spə̄ništā,0,"[{'id': 'Y18.2b', 'index': 3}, {'id': 'Y18.2b', 'index': 4}]"
maińiiə̄,maińiiaōm,3,"[{'id': 'Y18.2b', 'index': 5}]"
mazdā,mazdā,0,"[{'id': 'Y18.2b', 'index': 6}]"
təuuīšī,təuuīšī,0,"[{'id': 'Y18.2b', 'index': 7}, {'id': 'Y18.2c', 'index': 0}]"
utaiiīitī,utaiiūitī,1,"[{'id': 'Y18.2c', 'index': 1}]"
manaŋhā̊,manaŋhā,1,"[{'id': 'Y18.2c', 'index': 2}]"
vohī,vohu,1,"[{'id': 'Y18.2c', 'index': 3}]"
sə̄ŋhē,sə̄ŋha,1,"[{'id': 'Y18.2c', 'index': 4}, {'id': 'Y18.2c', 'index': 5}]"
spəṇtā,spəṇtā̊,1,"[{'id': 'Y18.3a', 'index': 0}]"
maińiiī,mainiš,3,"[{'id': 'Y18.3a', 'index': 1}]"
vahištācā,vahištācā,0,"[{'id': 'Y18.3a', 'index': 2}]"
manaŋhā,manaŋhā,0,"[{'id': 'Y18.3a', 'index': 3}]"
hacā,hacā,0,"[{'id': 'Y18.3a', 'index': 4}, {'id': 'Y18.3b', 'index': 0}]"
aṣ̌āt̰,aṣ̌āt̰,0,"[{'id': 'Y18.3b', 'index': 1}]"
š́iiaōϑanācā,š́iiaōϑanācā,0,"[{'id': 'Y18.3b', 'index': 2}, {'id': 'Y18.3b', 'index': 3}]"
vacaŋhācā,vacaŋhācā,0,"[{'id': 'Y18.3b', 'index': 4}]"
aɱāi,aɱāi,0,"[{'id': 'Y18.3b', 'index': 5}, {'id': 'Y18.3c', 'index': 0}]"
dṇn,dąn,2,"[{'id': 'Y18.3c', 'index': 1}]"
hauruuātā,hauruuātā,0,"[{'id': 'Y18.3c', 'index': 2}]"
amərətātā,amərətātā,0,"[{'id': 'Y18.3c', 'index': 3}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.3c', 'index': 4}, {'id': 'Y18.3d', 'index': 0}, {'id': 'Y18.3d', 'index': 1}]"
xšaϑrā,xšaϑrā,0,"[{'id': 'Y18.3d', 'index': 2}]"
ārmaitī,ārmaitī,0,"[{'id': 'Y18.3d', 'index': 3}]"
ahurō,ahurō,0,"[{'id': 'Y18.3d', 'index': 4}]"
ahiiā,ahiiā,0,"[{'id': 'Y18.3d', 'index': 5}, {'id': 'Y18.4a', 'index': 0}]"
maińiiə̄uš,maińiiə̄uš,2,"[{'id': 'Y18.4a', 'index': 1}]"
spə̄ništahiiā,spə̄ništahiiā,0,"[{'id': 'Y18.4a', 'index': 2}]"
vahištəm,vahištəm,0,"[{'id': 'Y18.4a', 'index': 3}]"
hizuuā̊,hizuuā̊,0,"[{'id': 'Y18.4a', 'index': 4}, {'id': 'Y18.4b', 'index': 0}, {'id': 'Y18.4b', 'index': 1}]"
uxδāiš,uxδāiš,0,"[{'id': 'Y18.4b', 'index': 2}]"
vaŋhə̄uš,vaŋhə̄uš,0,"[{'id': 'Y18.4b', 'index': 3}]"
ə̄əānī,ə̄əānū,1,"[{'id': 'Y18.4b', 'index': 4}]"
manaŋhō,manaŋhō,0,"[{'id': 'Y18.4b', 'index': 5}]"
ārmatōiš,ārmatōiš,0,"[{'id': 'Y18.4b', 'index': 6}, {'id': 'Y18.4c', 'index': 0}]"
zastōibiiā,zastōibiiā,0,"[{'id': 'Y18.4c', 'index': 1}, {'id': 'Y18.4c', 'index': 2}]"
š́iiaōϑanā,š́iiaōϑanā,0,"[{'id': 'Y18.4c', 'index': 3}]"
vərəziiāt̰,vərəziiat̰,1,"[{'id': 'Y18.4c', 'index': 4}]"
ōiiā,ōiiā,0,"[{'id': 'Y18.4c', 'index': 5}, {'id': 'Y18.4d', 'index': 0}, {'id': 'Y18.4d', 'index': 1}]"
cistī,cistī,0,"[{'id': 'Y18.4d', 'index': 2}]"
huuō,huuō,0,"[{'id': 'Y18.4d', 'index': 3}]"
patā,parā,1,"[{'id': 'Y18.4d', 'index': 4}]"
aṣ̌ahiiā,aṣ̌ahiiā,0,"[{'id': 'Y18.4d', 'index': 5}, {'id': 'Y18.4d', 'index': 6}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.4d', 'index': 7}]"
ahiiā,ahiiā,0,"[{'id': 'Y18.4d', 'index': 8}, {'id': 'Y18.5a', 'index': 0}]"
maińiiə̄uš,maińiiə̄uš,2,"[{'id': 'Y18.5a', 'index': 1}]"
tuuə̄m,tuuə̄m,0,"[{'id': 'Y18.5a', 'index': 2}]"
ahītā,ahuuā,2,"[{'id': 'Y18.5a', 'index': 3}]"
spəṇtō,spəṇtā̊,2,"[{'id': 'Y18.5a', 'index': 4}]"
yə̄,yə̄,0,"[{'id': 'Y18.5a', 'index': 5}, {'id': 'Y18.5b', 'index': 0}]"
aɱāi,aɱāi,0,"[{'id': 'Y18.5b', 'index': 1}, {'id': 'Y18.5b', 'index': 2}]"
gąm,gąm,0,"[{'id': 'Y18.5b', 'index': 3}]"
rańiiō,aš́iiō,2,"[{'id': 'Y18.5b', 'index': 4}]"
skərəitīm,,1000,"[{'id': 'Y18.5b', 'index': 5}]"
hə̄mtašat̰,hə̄mtašat̰,0,"[{'id': 'Y18.5b', 'index': 6}, {'id': 'Y18.5b', 'index': 7}]"
at̰,at̰,0,"[{'id': 'Y18.5b', 'index': 8}, {'id': 'Y18.5c', 'index': 0}]"
hōi,hōi,0,"[{'id': 'Y18.5c', 'index': 1}]"
vāstrāi,vāstrāi,0,"[{'id': 'Y18.5c', 'index': 2}]"
rāmādā̊,rāmācā,2,"[{'id': 'Y18.5c', 'index': 3}]"
ārmaitīm,ārmaitīm,0,"[{'id': 'Y18.5c', 'index': 4}]"
hiiat̰,hiiat̰,0,"[{'id': 'Y18.5c', 'index': 5}, {'id': 'Y18.5d', 'index': 0}]"
hə̄m,hə̄m,0,"[{'id': 'Y18.5d', 'index': 1}, {'id': 'Y18.5d', 'index': 2}]"
vohī,vohu,1,"[{'id': 'Y18.5d', 'index': 3}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.5d', 'index': 4}]"
hə̄mifraštā,hə̄məfraštā,1,"[{'id': 'Y18.5d', 'index': 5}, {'id': 'Y18.5d', 'index': 6}]"
manaŋhā,manaŋhā,0,"[{'id': 'Y18.5d', 'index': 7}]"
,ā,1,"[{'id': 'Y18.5d', 'index': 8}]"
ahmāt̰,aṣ̌āt̰,2,"[{'id': 'Y18.6a', 'index': 0}]"
maińiiə̄uš,maińiiə̄uš,2,"[{'id': 'Y18.6a', 'index': 1}]"
rārəš́iiaṇtī,rārəš́iieiṇtī,3,"[{'id': 'Y18.6a', 'index': 2}]"
drəguuatō,drəguuatō,0,"[{'id': 'Y18.6a', 'index': 3}]"
drəguuaṇtō,drəguuatō,2,"[{'id': 'Y18.6a', 'index': 4}]"
drəguuatō,drəguuatō,0,"[{'id': 'Y18.6a', 'index': 5}]"
drəguuaṇtō,drəguuatō,2,"[{'id': 'Y18.6a', 'index': 6}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.6a', 'index': 7}, {'id': 'Y18.6b', 'index': 0}]"
spəṇtā̊,spəṇtā̊,0,"[{'id': 'Y18.6b', 'index': 1}]"
nōit̰,nōit̰,0,"[{'id': 'Y18.6b', 'index': 2}]"
aϑā,aϑā,0,"[{'id': 'Y18.6b', 'index': 3}]"
aṣ̌aōnō,aṣ̌aōnō,0,"[{'id': 'Y18.6b', 'index': 4}]"
kasə̄ušcīt̰,kasə̄ušcīt̰,0,"[{'id': 'Y18.6b', 'index': 5}, {'id': 'Y18.6c', 'index': 0}, {'id': 'Y18.6c', 'index': 1}]"
nā,nā,0,"[{'id': 'Y18.6c', 'index': 2}]"
aṣ̌aōnō,aṣ̌aōnō,0,"[{'id': 'Y18.6c', 'index': 3}]"
kāϑə̄,kāϑə̄,0,"[{'id': 'Y18.6c', 'index': 4}]"
aŋhat̰,aŋhat̰,0,"[{'id': 'Y18.6c', 'index': 5}, {'id': 'Y18.6d', 'index': 0}]"
əsauuācīt̰,isuuācīt̰,2,"[{'id': 'Y18.6d', 'index': 1}]"
hąs,hąs,0,"[{'id': 'Y18.6d', 'index': 2}]"
parōiš,patōiš,1,"[{'id': 'Y18.6d', 'index': 3}]"
akō,akō,0,"[{'id': 'Y18.6d', 'index': 4}]"
drəgauuāiti,drəguuāitē,2,"[{'id': 'Y18.6d', 'index': 5}]"
tācā,tācā,0,"[{'id': 'Y18.6d', 'index': 6}, {'id': 'Y18.7a', 'index': 0}]"
spəṇtā,spəṇtā̊,1,"[{'id': 'Y18.7a', 'index': 1}, {'id': 'Y18.7a', 'index': 2}]"
maińiiī,mainiš,3,"[{'id': 'Y18.7a', 'index': 3}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.7a', 'index': 4}]"
ahurā,ahurā,0,"[{'id': 'Y18.7a', 'index': 5}]"
aṣ̌aōne,aṣ̌aōne,0,"[{'id': 'Y18.7a', 'index': 6}, {'id': 'Y18.7b', 'index': 0}, {'id': 'Y18.7b', 'index': 1}]"
cōiš,cōiš,0,"[{'id': 'Y18.7b', 'index': 2}]"
yāzī,yezī,1,"[{'id': 'Y18.7b', 'index': 3}]"
cīcā,cīcā,0,"[{'id': 'Y18.7b', 'index': 4}]"
vahištā,vahištā,0,"[{'id': 'Y18.7b', 'index': 5}]"
hanarə̄,hanarə,1,"[{'id': 'Y18.7b', 'index': 6}, {'id': 'Y18.7c', 'index': 0}]"
ϑβahmāt̰,ϑβaēšāt̰,2,"[{'id': 'Y18.7c', 'index': 1}]"
zaōšāt̰,zaōšāt̰,0,"[{'id': 'Y18.7c', 'index': 2}, {'id': 'Y18.7c', 'index': 3}]"
drəgauuā̊,drəguuā̊,1,"[{'id': 'Y18.7c', 'index': 4}]"
baxšaiti,baxšaiti,0,"[{'id': 'Y18.7c', 'index': 5}]"
ahiiā,ahiiā,0,"[{'id': 'Y18.7c', 'index': 6}, {'id': 'Y18.7d', 'index': 0}, {'id': 'Y18.7d', 'index': 1}]"
š́iiaōϑanāiš,š́iiaōϑanāiš,0,"[{'id': 'Y18.7d', 'index': 2}]"
akāt̰,akāt̰,0,"[{'id': 'Y18.7d', 'index': 3}]"
ā,ā,0,"[{'id': 'Y18.7d', 'index': 4}]"
š́iiąs,š́iiąs,0,"[{'id': 'Y18.7d', 'index': 5}]"
manaŋhō,manaŋhō,0,"[{'id': 'Y18.7d', 'index': 6}]"
tā̊,tā̊,0,"[{'id': 'Y18.7d', 'index': 7}, {'id': 'Y18.8a', 'index': 0}]"
dā̊,dā̊,0,"[{'id': 'Y18.8a', 'index': 1}]"
spəṇtā̊,spəṇtā̊,0,"[{'id': 'Y18.8a', 'index': 2}, {'id': 'Y18.8a', 'index': 3}]"
maińiiī,mainiš,3,"[{'id': 'Y18.8a', 'index': 4}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.8a', 'index': 5}]"
ahurā,ahurā,0,"[{'id': 'Y18.8a', 'index': 6}]"
āϑrā,āϑrā,0,"[{'id': 'Y18.8a', 'index': 7}, {'id': 'Y18.8b', 'index': 0}]"
vaŋhā̊,vaŋhāu,1,"[{'id': 'Y18.8b', 'index': 1}]"
vīdāitīm,vīdāitīm,0,"[{'id': 'Y18.8b', 'index': 2}]"
rānōibiiā,rānōibiiā,0,"[{'id': 'Y18.8b', 'index': 3}, {'id': 'Y18.8b', 'index': 4}]"
ārmatōiš,ārmatōiš,0,"[{'id': 'Y18.8b', 'index': 5}, {'id': 'Y18.8c', 'index': 0}]"
dibązaŋhā,dəbązaŋhā,1,"[{'id': 'Y18.8c', 'index': 1}]"
aṣ̌ax́iiācā,aṣ̌ax́iiācā,0,"[{'id': 'Y18.8c', 'index': 2}]"
hāzī,āzī,1,"[{'id': 'Y18.8c', 'index': 3}, {'id': 'Y18.8d', 'index': 0}]"
paōurīš,paōirīm,2,"[{'id': 'Y18.8d', 'index': 1}]"
i,āi,1,"[{'id': 'Y18.8d', 'index': 2}]"
šəṇtō,pərətō,3,"[{'id': 'Y18.8d', 'index': 3}]"
vāurāitē,vāurāitē,0,"[{'id': 'Y18.8d', 'index': 4}]"
spəṇtā,spəṇtā̊,1,"[{'id': 'Y18.8d', 'index': 5}, {'id': 'Y18.9a', 'index': 0}]"
maińiiī,mainiš,3,"[{'id': 'Y18.9a', 'index': 1}]"
vahištācā,vahištācā,0,"[{'id': 'Y18.9a', 'index': 2}]"
manaŋhā,manaŋhā,0,"[{'id': 'Y18.9a', 'index': 3}]"
hacā,hacā,0,"[{'id': 'Y18.9a', 'index': 4}, {'id': 'Y18.9b', 'index': 0}]"
aṣ̌āt̰,aṣ̌āt̰,0,"[{'id': 'Y18.9b', 'index': 1}]"
š́iiaōϑanācā,š́iiaōϑanācā,0,"[{'id': 'Y18.9b', 'index': 2}, {'id': 'Y18.9b', 'index': 3}]"
vacaŋhācā,vacaŋhācā,0,"[{'id': 'Y18.9b', 'index': 4}]"
aɱāi,aɱāi,0,"[{'id': 'Y18.9b', 'index': 5}, {'id': 'Y18.9c', 'index': 0}]"
dṇn,dąn,2,"[{'id': 'Y18.9c', 'index': 1}]"
hauruuātā,hauruuātā,0,"[{'id': 'Y18.9c', 'index': 2}]"
amərətātā,amərətātā,0,"[{'id': 'Y18.9c', 'index': 3}]"
mazdā̊,mazdā̊,0,"[{'id': 'Y18.9c', 'index': 4}, {'id': 'Y18.9d', 'index': 0}, {'id': 'Y18.9d', 'index': 1}]"
xšaϑrā,xšaϑrā,0,"[{'id': 'Y18.9d', 'index': 2}]"
ārmaitī,ārmaitī,0,"[{'id': 'Y18.9d', 'index': 3}]"
ahurō,ahurō,0,"[{'id': 'Y18.9d', 'index': 4}]"
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y18.9d', 'index': 5}, {'id': 'Y18.10AV', 'index': 0}]"
vohī,vohu,1,"[{'id': 'Y18.10AV', 'index': 1}]"
spəṇtāmaińiiīm,,1000,"[{'id': 'Y18.11a', 'index': 0}]"
hāitīm,hāitīm,0,"[{'id': 'Y18.11a', 'index': 1}]"
yeŋ́hēhātąm,yeŋ́hēhātąm,0,"[{'id': 'Y18.11a', 'index': 2}, {'id': 'Y18.12YeH', 'index': 0}, {'id': 'Y18.12YeH', 'index': 1}]"
yaϑā,yaϑā,0,"[{'id': 'Y18.13YAV', 'index': 0}]"
ahī,ahī,0,"[{'id': 'Y18.13YAV', 'index': 1}, {'id': 'Y18.13YAV', 'index': 2}]"
vairiiō,vairiiō,0,"[{'id': 'Y18.13YAV', 'index': 3}]"
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y18.14AV', 'index': 0}]"
vohī,vohu,1,"[{'id': 'Y18.14AV', 'index': 1}]"
ahunəm,ahunəm,0,"[{'id': 'Y18.15a', 'index': 0}]"
vairīm,vairīm,0,"[{'id': 'Y18.15a', 'index': 1}, {'id': 'Y18.15a', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y18.15a', 'index': 3}, {'id': 'Y18.15b', 'index': 0}]"
vahištəm,vahištəm,0,"[{'id': 'Y18.15b', 'index': 1}]"
sraēštəm,sraēštəm,0,"[{'id': 'Y18.15b', 'index': 2}, {'id': 'Y18.15b', 'index': 3}]"
aməṣ̌əm,aməṣ̌əm,0,"[{'id': 'Y18.15b', 'index': 4}]"
spəṇtəm,spəṇtā̊,2,"[{'id': 'Y18.15b', 'index': 5}]"
yeŋ́hē,yeŋ́hē,0,"[{'id': 'Y18.15b', 'index': 6}, {'id': 'Y18.16YeH', 'index': 0}, {'id': 'Y18.16YeH', 'index': 1}]"
hātąm,hātąm,0,"[{'id': 'Y18.16YeH', 'index': 2}]"
yaϑā,yaϑā,0,"[{'id': 'Y23.0WazGr', 'index': 0}]"
ahī,ahī,0,"[{'id': 'Y23.0WazGr', 'index': 1}]"
vairiiō,vairiiō,0,"[{'id': 'Y23.0WazGr', 'index': 2}]"
zaōtā,zaōtā,0,"[{'id': 'Y23.0WazGr', 'index': 3}]"
f,ā,1,"[{'id': 'Y23.0WazGr', 'index': 4}]"
rāmē,rāma,1,"[{'id': 'Y23.0WazGr', 'index': 5}]"
mrītē,mrūtē,1,"[{'id': 'Y23.0WazGr', 'index': 6}]"
aϑā,aϑā,0,"[{'id': 'Y23.0WazGrF', 'index': 0}]"
ratuš,ratuš,0,"[{'id': 'Y23.0WazGrF', 'index': 1}]"
imąn,imą,1,"[{'id': 'Y24.1b', 'index': 0}]"
haōmąnsca,haōmąsca,1,"[{'id': 'Y24.1b', 'index': 1}]"
miiazdąsca,miiazdąsca,0,"[{'id': 'Y24.1b', 'index': 2}, {'id': 'Y24.1b', 'index': 3}]"
zaōϑrā̊sca,zaōϑrā̊sca,0,"[{'id': 'Y24.1b', 'index': 4}]"
barəsmacaaṣ̌aiia,,1000,"[{'id': 'Y24.1b', 'index': 5}]"
frastarətəm,frastarətəm,0,"[{'id': 'Y24.1b', 'index': 6}]"
gąmca,gąmca,0,"[{'id': 'Y24.1b', 'index': 7}]"
huδā̊ŋhəm,huδā̊ŋhəm,0,"[{'id': 'Y24.1b', 'index': 8}, {'id': 'Y24.1b', 'index': 9}]"
imąmcā,imąmcā,0,"[{'id': 'Y24.1b', 'index': 10}, {'id': 'Y24.1c', 'index': 0}]"
gąm,gąm,0,"[{'id': 'Y24.1c', 'index': 1}]"
jīuuiiąm,jīuuiiąm,0,"[{'id': 'Y24.1c', 'index': 2}, {'id': 'Y24.1c', 'index': 3}]"
aṣ̌aiia,aṣ̌aiia,0,"[{'id': 'Y24.1c', 'index': 4}]"
uzdātąm,uzdātąm,0,"[{'id': 'Y24.1c', 'index': 5}]"
imąmcā,imąmcā,0,"[{'id': 'Y24.1c', 'index': 6}, {'id': 'Y24.1d', 'index': 0}]"
uruuarąm,uruuarąm,0,"[{'id': 'Y24.1d', 'index': 1}]"
haδānaēpatąm,haδānaēpatąm,0,"[{'id': 'Y24.1d', 'index': 2}]"
aṣ̌aiia,aṣ̌aiia,0,"[{'id': 'Y24.1d', 'index': 3}]"
uzdātąm,uzdātąm,0,"[{'id': 'Y24.1d', 'index': 4}]"
aiβiiō,aiβiiō,0,"[{'id': 'Y24.1d', 'index': 5}, {'id': 'Y24.2a', 'index': 0}]"
vaŋhīibiiō,vaŋᵛhībiiō,2,"[{'id': 'Y24.2a', 'index': 1}]"
imā̊,imā̊,0,"[{'id': 'Y24.2a', 'index': 2}, {'id': 'Y24.2a', 'index': 3}]"
zaōϑrā̊̊,zaōϑrā̊,1,"[{'id': 'Y24.2a', 'index': 4}]"
haōmauuaitīš,haōmauuaitīš,0,"[{'id': 'Y24.2a', 'index': 5}]"
gaōmauuaitīš,gaōmauuaitīš,0,"[{'id': 'Y24.2a', 'index': 6}, {'id': 'Y24.2a', 'index': 7}]"
haδānaēpatauuaitīš,haδānaēpatauuaitīš,0,"[{'id': 'Y24.2a', 'index': 8}, {'id': 'Y24.2a', 'index': 9}]"
aṣ̌aiia,aṣ̌aiia,0,"[{'id': 'Y24.2a', 'index': 10}]"
uzdātā̊,uzdātā̊,0,"[{'id': 'Y24.2a', 'index': 11}]"
aiβiiō,aiβiiō,0,"[{'id': 'Y24.2a', 'index': 12}, {'id': 'Y24.2b', 'index': 0}, {'id': 'Y24.2b', 'index': 1}]"
vaŋhaēibiiō,haēnaēibiiō,3,"[{'id': 'Y24.2b', 'index': 2}]"
apəmca,apəmca,0,"[{'id': 'Y24.2b', 'index': 3}]"
haōmiiąm,haōmiiąm,0,"[{'id': 'Y24.2b', 'index': 4}, {'id': 'Y24.2b', 'index': 5}]"
asmanaca,asmanaca,0,"[{'id': 'Y24.2b', 'index': 6}, {'id': 'Y24.2c', 'index': 0}]"
hāuuana,hāuuana,0,"[{'id': 'Y24.2c', 'index': 1}]"
